date,CPILFESL
2000-01-31,179.3
2000-02-29,179.4
2000-03-31,180.0
2000-04-30,180.3
2000-05-31,180.7
2000-06-30,181.1
2000-07-31,181.5
2000-08-31,181.9
2000-09-30,182.3
2000-10-31,182.6
2000-11-30,183.1
2000-12-31,183.3
2001-01-31,183.9
2001-02-28,184.4
2001-03-31,184.7
2001-04-30,185.1
2001-05-31,185.3
2001-06-30,186.0
2001-07-31,186.4
2001-08-31,186.7
2001-09-30,187.1
2001-10-31,187.4
2001-11-30,188.1
2001-12-31,188.4
2002-01-31,188.7
2002-02-28,189.1
2002-03-31,189.2
2002-04-30,189.7
2002-05-31,190.0
2002-06-30,190.2
2002-07-31,190.5
2002-08-31,191.1
2002-09-30,191.3
2002-10-31,191.5
2002-11-30,191.9
2002-12-31,192.1
2003-01-31,192.4
2003-02-28,192.5
2003-03-31,192.5
2003-04-30,192.5
2003-05-31,192.9
2003-06-30,193.0
2003-07-31,193.4
2003-08-31,193.6
2003-09-30,193.7
2003-10-31,194.0
2003-11-30,194.0
2003-12-31,194.2
2004-01-31,194.6
2004-02-29,194.9
2004-03-31,195.5
2004-04-30,195.9
2004-05-31,196.2
2004-06-30,196.6
2004-07-31,196.8
2004-08-31,196.9
2004-09-30,197.5
2004-10-31,197.9
2004-11-30,198.3
2004-12-31,198.6
2005-01-31,199.0
2005-02-28,199.4
2005-03-31,200.1
2005-04-30,200.2
2005-05-31,200.5
2005-06-30,200.6
2005-07-31,200.9
2005-08-31,201.1
2005-09-30,201.3
2005-10-31,202.0
2005-11-30,202.5
2005-12-31,202.8
2006-01-31,203.2
2006-02-28,203.6
2006-03-31,204.3
2006-04-30,204.8
2006-05-31,205.4
2006-06-30,205.9
2006-07-31,206.3
2006-08-31,206.8
2006-09-30,207.2
2006-10-31,207.6
2006-11-30,207.8
2006-12-31,208.1
2007-01-31,208.6
2007-02-28,209.135
2007-03-31,209.418
2007-04-30,209.747
2007-05-31,210.058
2007-06-30,210.392
2007-07-31,210.773
2007-08-31,211.119
2007-09-30,211.554
2007-10-31,212.077
2007-11-30,212.66
2007-12-31,213.168
2008-01-31,213.771
2008-02-29,213.939
2008-03-31,214.42
2008-04-30,214.56
2008-05-31,214.936
2008-06-30,215.424
2008-07-31,215.965
2008-08-31,216.393
2008-09-30,216.713
2008-10-31,216.788
2008-11-30,216.947
2008-12-31,216.925
2009-01-31,217.346
2009-02-28,217.792
2009-03-31,218.253
2009-04-30,218.706
2009-05-31,218.904
2009-06-30,219.112
2009-07-31,219.263
2009-08-31,219.496
2009-09-30,219.92
2009-10-31,220.501
2009-11-30,220.666
2009-12-31,220.881
2010-01-31,220.633
2010-02-28,220.731
2010-03-31,220.783
2010-04-30,220.822
2010-05-31,220.962
2010-06-30,221.194
2010-07-31,221.363
2010-08-31,221.509
2010-09-30,221.711
2010-10-31,221.83
2010-11-30,222.149
2010-12-31,222.343
2011-01-31,222.803
2011-02-28,223.213
2011-03-31,223.454
2011-04-30,223.727
2011-05-31,224.175
2011-06-30,224.697
2011-07-31,225.218
2011-08-31,225.862
2011-09-30,226.118
2011-10-31,226.506
2011-11-30,226.899
2011-12-31,227.405
2012-01-31,227.877
2012-02-29,228.034
2012-03-31,228.478
2012-04-30,228.905
2012-05-31,229.224
2012-06-30,229.623
2012-07-31,229.97
2012-08-31,230.233
2012-09-30,230.659
2012-10-31,231.024
2012-11-30,231.33
2012-12-31,231.725
2013-01-31,232.229
2013-02-28,232.569
2013-03-31,232.794
2013-04-30,232.832
2013-05-31,232.996
2013-06-30,233.35
2013-07-31,233.88
2013-08-31,234.336
2013-09-30,234.7
2013-10-31,234.921
2013-11-30,235.359
2013-12-31,235.759
2014-01-31,235.961
2014-02-28,236.185
2014-03-31,236.625
2014-04-30,237.072
2014-05-31,237.529
2014-06-30,237.837
2014-07-31,238.195
2014-08-31,238.405
2014-09-30,238.786
2014-10-31,239.191
2014-11-30,239.458
2014-12-31,239.584
2015-01-31,239.811
2015-02-28,240.172
2015-03-31,240.755
2015-04-30,241.346
2015-05-31,241.688
2015-06-30,242.064
2015-07-31,242.565
2015-08-31,242.817
2015-09-30,243.316
2015-10-31,243.768
2015-11-30,244.241
2015-12-31,244.547
2016-01-31,244.955
2016-02-29,245.51
2016-03-31,245.913
2016-04-30,246.551
2016-05-31,247.137
2016-06-30,247.54
2016-07-31,247.829
2016-08-31,248.423
2016-09-30,248.842
2016-10-31,249.142
2016-11-30,249.481
2016-12-31,249.92
2017-01-31,250.467
2017-02-28,250.998
2017-03-31,250.944
2017-04-30,251.227
2017-05-31,251.43
2017-06-30,251.746
2017-07-31,251.985
2017-08-31,252.535
2017-09-30,252.812
2017-10-31,253.526
2017-11-30,253.816
2017-12-31,254.344
2018-01-31,255.204
2018-02-28,255.711
2018-03-31,256.271
2018-04-30,256.63
2018-05-31,257.145
2018-06-30,257.399
2018-07-31,257.699
2018-08-31,257.891
2018-09-30,258.368
2018-10-31,258.917
2018-11-30,259.439
2018-12-31,260.063
2019-01-31,260.766
2019-02-28,261.186
2019-03-31,261.567
2019-04-30,261.997
2019-05-31,262.217
2019-06-30,262.739
2019-07-31,263.28
2019-08-31,263.877
2019-09-30,264.388
2019-10-31,264.97
2019-11-30,265.548
2019-12-31,266.02
2020-01-31,266.716
2020-02-29,267.37
2020-03-31,267.054
2020-04-30,265.746
2020-05-31,265.412
2020-06-30,265.849
2020-07-31,267.389
2020-08-31,268.422
2020-09-30,268.933
2020-10-31,269.306
2020-11-30,269.981
2020-12-31,270.341
2021-01-31,270.416
2021-02-28,270.776
2021-03-31,271.453
2021-04-30,273.626
2021-05-31,275.457
2021-06-30,277.608
2021-07-31,278.639
2021-08-31,279.021
2021-09-30,279.727
2021-10-31,281.649
2021-11-30,283.411
2021-12-31,285.221
2022-01-31,286.799
2022-02-28,288.256
2022-03-31,289.044
2022-04-30,290.474
2022-05-31,292.039
2022-06-30,294.009
2022-07-31,295.08
2022-08-31,296.582
2022-09-30,298.281
2022-10-31,299.381
2022-11-30,300.316
2022-12-31,301.433
2023-01-31,302.685
2023-02-28,304.097
2023-03-31,305.123
2023-04-30,306.49
2023-05-31,307.623
2023-06-30,308.291
2023-07-31,308.959
2023-08-31,309.646
2023-09-30,310.616
2023-10-31,311.433
2023-11-30,312.373
2023-12-31,313.23
2024-01-31,314.389
2024-02-29,315.555
2024-03-31,316.762
2024-04-30,317.596
2024-05-31,318.053
2024-06-30,318.343
2024-07-31,318.933
2024-08-31,319.839
2024-09-30,320.835
2024-10-31,321.688
2024-11-30,322.619
2024-12-31,323.296
2025-01-31,324.739
2025-02-28,325.475
2025-03-31,325.659
2025-04-30,326.43
2025-05-31,326.854
