date,PCEPILFE
2000-01-31,74.306
2000-02-29,74.415
2000-03-31,74.568
2000-04-30,74.617
2000-05-31,74.697
2000-06-30,74.754
2000-07-31,74.925
2000-08-31,75.021
2000-09-30,75.203
2000-10-31,75.308
2000-11-30,75.441
2000-12-31,75.515
2001-01-31,75.796
2001-02-28,75.93
2001-03-31,76.009
2001-04-30,76.13
2001-05-31,76.148
2001-06-30,76.318
2001-07-31,76.515
2001-08-31,76.553
2001-09-30,76.118
2001-10-31,76.654
2001-11-30,76.81
2001-12-31,76.828
2002-01-31,76.871
2002-02-28,77.018
2002-03-31,77.11
2002-04-30,77.325
2002-05-31,77.411
2002-06-30,77.534
2002-07-31,77.692
2002-08-31,77.845
2002-09-30,77.972
2002-10-31,78.038
2002-11-30,78.114
2002-12-31,78.187
2003-01-31,78.24
2003-02-28,78.348
2003-03-31,78.474
2003-04-30,78.561
2003-05-31,78.674
2003-06-30,78.718
2003-07-31,78.915
2003-08-31,79.004
2003-09-30,79.114
2003-10-31,79.26
2003-11-30,79.368
2003-12-31,79.467
2004-01-31,79.671
2004-02-29,79.8
2004-03-31,79.934
2004-04-30,80.142
2004-05-31,80.252
2004-06-30,80.379
2004-07-31,80.474
2004-08-31,80.505
2004-09-30,80.656
2004-10-31,80.831
2004-11-30,81.005
2004-12-31,81.109
2005-01-31,81.401
2005-02-28,81.536
2005-03-31,81.737
2005-04-30,81.831
2005-05-31,81.999
2005-06-30,82.056
2005-07-31,82.176
2005-08-31,82.243
2005-09-30,82.425
2005-10-31,82.662
2005-11-30,82.873
2005-12-31,82.959
2006-01-31,83.145
2006-02-28,83.279
2006-03-31,83.509
2006-04-30,83.764
2006-05-31,83.974
2006-06-30,84.186
2006-07-31,84.268
2006-08-31,84.44
2006-09-30,84.573
2006-10-31,84.726
2006-11-30,84.766
2006-12-31,84.88
2007-01-31,85.224
2007-02-28,85.408
2007-03-31,85.494
2007-04-30,85.616
2007-05-31,85.717
2007-06-30,85.859
2007-07-31,85.988
2007-08-31,86.116
2007-09-30,86.351
2007-10-31,86.576
2007-11-30,86.746
2007-12-31,86.92
2008-01-31,87.093
2008-02-29,87.178
2008-03-31,87.349
2008-04-30,87.4
2008-05-31,87.559
2008-06-30,87.76
2008-07-31,87.918
2008-08-31,88.026
2008-09-30,88.116
2008-10-31,87.991
2008-11-30,87.952
2008-12-31,87.909
2009-01-31,87.882
2009-02-28,87.952
2009-03-31,88.015
2009-04-30,88.211
2009-05-31,88.279
2009-06-30,88.392
2009-07-31,88.468
2009-08-31,88.599
2009-09-30,88.755
2009-10-31,89.082
2009-11-30,89.16
2009-12-31,89.236
2010-01-31,89.368
2010-02-28,89.446
2010-03-31,89.579
2010-04-30,89.625
2010-05-31,89.724
2010-06-30,89.767
2010-07-31,89.769
2010-08-31,89.855
2010-09-30,89.906
2010-10-31,90.043
2010-11-30,90.16
2010-12-31,90.179
2011-01-31,90.372
2011-02-28,90.53
2011-03-31,90.667
2011-04-30,90.875
2011-05-31,91.091
2011-06-30,91.191
2011-07-31,91.326
2011-08-31,91.508
2011-09-30,91.57
2011-10-31,91.614
2011-11-30,91.808
2011-12-31,91.96
2012-01-31,92.235
2012-02-29,92.364
2012-03-31,92.521
2012-04-30,92.661
2012-05-31,92.755
2012-06-30,92.85
2012-07-31,92.946
2012-08-31,93.005
2012-09-30,93.119
2012-10-31,93.345
2012-11-30,93.445
2012-12-31,93.514
2013-01-31,93.703
2013-02-28,93.805
2013-03-31,93.891
2013-04-30,93.937
2013-05-31,94.047
2013-06-30,94.209
2013-07-31,94.329
2013-08-31,94.431
2013-09-30,94.543
2013-10-31,94.703
2013-11-30,94.86
2013-12-31,94.961
2014-01-31,95.064
2014-02-28,95.109
2014-03-31,95.25
2014-04-30,95.413
2014-05-31,95.574
2014-06-30,95.682
2014-07-31,95.848
2014-08-31,95.885
2014-09-30,96.013
2014-10-31,96.096
2014-11-30,96.181
2014-12-31,96.249
2015-01-31,96.214
2015-02-28,96.324
2015-03-31,96.47
2015-04-30,96.648
2015-05-31,96.766
2015-06-30,96.882
2015-07-31,96.978
2015-08-31,97.056
2015-09-30,97.196
2015-10-31,97.228
2015-11-30,97.332
2015-12-31,97.396
2016-01-31,97.567
2016-02-29,97.736
2016-03-31,97.876
2016-04-30,98.117
2016-05-31,98.284
2016-06-30,98.386
2016-07-31,98.529
2016-08-31,98.703
2016-09-30,98.834
2016-10-31,98.961
2016-11-30,99.005
2016-12-31,99.12
2017-01-31,99.385
2017-02-28,99.561
2017-03-31,99.519
2017-04-30,99.723
2017-05-31,99.803
2017-06-30,99.937
2017-07-31,100.01
2017-08-31,100.118
2017-09-30,100.24
2017-10-31,100.486
2017-11-30,100.535
2017-12-31,100.683
2018-01-31,101.007
2018-02-28,101.198
2018-03-31,101.419
2018-04-30,101.602
2018-05-31,101.78
2018-06-30,101.872
2018-07-31,102.006
2018-08-31,102.016
2018-09-30,102.205
2018-10-31,102.366
2018-11-30,102.556
2018-12-31,102.735
2019-01-31,102.87
2019-02-28,102.963
2019-03-31,103.058
2019-04-30,103.265
2019-05-31,103.371
2019-06-30,103.56
2019-07-31,103.678
2019-08-31,103.797
2019-09-30,103.873
2019-10-31,104.028
2019-11-30,104.092
2019-12-31,104.322
2020-01-31,104.488
2020-02-29,104.684
2020-03-31,104.596
2020-04-30,104.256
2020-05-31,104.37
2020-06-30,104.531
2020-07-31,104.9
2020-08-31,105.235
2020-09-30,105.395
2020-10-31,105.47
2020-11-30,105.578
2020-12-31,105.904
2021-01-31,106.244
2021-02-28,106.477
2021-03-31,106.898
2021-04-30,107.549
2021-05-31,108.103
2021-06-30,108.595
2021-07-31,109.062
