date,PCEPI
2000-01-31,72.961
2000-02-29,73.191
2000-03-31,73.505
2000-04-30,73.444
2000-05-31,73.505
2000-06-30,73.754
2000-07-31,73.939
2000-08-31,73.934
2000-09-30,74.252
2000-10-31,74.353
2000-11-30,74.457
2000-12-31,74.571
2001-01-31,74.932
2001-02-28,75.048
2001-03-31,75.055
2001-04-30,75.187
2001-05-31,75.385
2001-06-30,75.518
2001-07-31,75.493
2001-08-31,75.484
2001-09-30,75.227
2001-10-31,75.492
2001-11-30,75.441
2001-12-31,75.363
2002-01-31,75.431
2002-02-28,75.558
2002-03-31,75.763
2002-04-30,76.08
2002-05-31,76.13
2002-06-30,76.225
2002-07-31,76.393
2002-08-31,76.543
2002-09-30,76.681
2002-10-31,76.821
2002-11-30,76.897
2002-12-31,76.971
2003-01-31,77.201
2003-02-28,77.526
2003-03-31,77.725
2003-04-30,77.593
2003-05-31,77.504
2003-06-30,77.588
2003-07-31,77.816
2003-08-31,78.079
2003-09-30,78.323
2003-10-31,78.333
2003-11-30,78.432
2003-12-31,78.605
2004-01-31,78.909
2004-02-29,79.077
2004-03-31,79.199
2004-04-30,79.346
2004-05-31,79.604
2004-06-30,79.831
2004-07-31,79.905
2004-08-31,79.946
2004-09-30,80.104
2004-10-31,80.448
2004-11-30,80.758
2004-12-31,80.801
2005-01-31,80.907
2005-02-28,81.132
2005-03-31,81.375
2005-04-30,81.603
2005-05-31,81.649
2005-06-30,81.7
2005-07-31,82.046
2005-08-31,82.377
2005-09-30,83.172
2005-10-31,83.305
2005-11-30,83.131
2005-12-31,83.131
2006-01-31,83.534
2006-02-28,83.584
2006-03-31,83.746
2006-04-30,84.135
2006-05-31,84.361
2006-06-30,84.569
2006-07-31,84.858
2006-08-31,85.125
2006-09-30,84.902
2006-10-31,84.702
2006-11-30,84.731
2006-12-31,85.032
2007-01-31,85.316
2007-02-28,85.581
2007-03-31,85.894
2007-04-30,86.096
2007-05-31,86.346
2007-06-30,86.529
2007-07-31,86.661
2007-08-31,86.72
2007-09-30,87.054
