date,TB3MS
2000-01-31,5.32
2000-02-29,5.55
2000-03-31,5.69
2000-04-30,5.66
2000-05-31,5.79
2000-06-30,5.69
2000-07-31,5.96
2000-08-31,6.09
2000-09-30,6.0
2000-10-31,6.11
2000-11-30,6.17
2000-12-31,5.77
2001-01-31,5.15
2001-02-28,4.88
2001-03-31,4.42
2001-04-30,3.87
2001-05-31,3.62
2001-06-30,3.49
2001-07-31,3.51
2001-08-31,3.36
2001-09-30,2.64
2001-10-31,2.16
2001-11-30,1.87
2001-12-31,1.69
2002-01-31,1.65
2002-02-28,1.72
2002-03-31,1.79
2002-04-30,1.71
2002-05-31,1.73
2002-06-30,1.7
2002-07-31,1.68
2002-08-31,1.62
2002-09-30,1.63
2002-10-31,1.58
2002-11-30,1.23
2002-12-31,1.19
2003-01-31,1.17
2003-02-28,1.17
2003-03-31,1.13
2003-04-30,1.13
2003-05-31,1.07
2003-06-30,0.92
2003-07-31,0.9
2003-08-31,0.95
2003-09-30,0.94
2003-10-31,0.92
2003-11-30,0.93
2003-12-31,0.9
2004-01-31,0.88
2004-02-29,0.93
2004-03-31,0.94
2004-04-30,0.94
2004-05-31,1.02
2004-06-30,1.27
2004-07-31,1.33
2004-08-31,1.48
2004-09-30,1.65
2004-10-31,1.76
2004-11-30,2.07
2004-12-31,2.19
2005-01-31,2.33
2005-02-28,2.54
2005-03-31,2.74
2005-04-30,2.78
2005-05-31,2.84
2005-06-30,2.97
2005-07-31,3.22
2005-08-31,3.44
2005-09-30,3.42
2005-10-31,3.71
2005-11-30,3.88
2005-12-31,3.89
2006-01-31,4.24
2006-02-28,4.43
2006-03-31,4.51
2006-04-30,4.6
2006-05-31,4.72
2006-06-30,4.79
2006-07-31,4.95
2006-08-31,4.96
2006-09-30,4.81
2006-10-31,4.92
2006-11-30,4.94
2006-12-31,4.85
2007-01-31,4.98
2007-02-28,5.03
2007-03-31,4.94
2007-04-30,4.87
2007-05-31,4.73
2007-06-30,4.61
2007-07-31,4.82
2007-08-31,4.2
2007-09-30,3.89
2007-10-31,3.9
2007-11-30,3.27
2007-12-31,3.0
2008-01-31,2.75
2008-02-29,2.12
2008-03-31,1.26
2008-04-30,1.29
2008-05-31,1.73
2008-06-30,1.86
2008-07-31,1.63
2008-08-31,1.72
2008-09-30,1.13
2008-10-31,0.67
2008-11-30,0.19
2008-12-31,0.03
2009-01-31,0.13
2009-02-28,0.3
2009-03-31,0.21
2009-04-30,0.16
2009-05-31,0.18
2009-06-30,0.18
2009-07-31,0.18
2009-08-31,0.17
2009-09-30,0.12
2009-10-31,0.07
2009-11-30,0.05
2009-12-31,0.05
2010-01-31,0.06
2010-02-28,0.11
2010-03-31,0.15
2010-04-30,0.16
2010-05-31,0.16
2010-06-30,0.12
2010-07-31,0.16
2010-08-31,0.16
2010-09-30,0.15
2010-10-31,0.13
2010-11-30,0.14
2010-12-31,0.14
2011-01-31,0.15
2011-02-28,0.13
2011-03-31,0.1
2011-04-30,0.06
2011-05-31,0.04
2011-06-30,0.04
2011-07-31,0.04
2011-08-31,0.02
2011-09-30,0.01
2011-10-31,0.02
2011-11-30,0.01
2011-12-31,0.01
2012-01-31,0.03
2012-02-29,0.09
2012-03-31,0.08
2012-04-30,0.08
2012-05-31,0.09
2012-06-30,0.09
2012-07-31,0.1
2012-08-31,0.1
2012-09-30,0.11
2012-10-31,0.1
2012-11-30,0.09
2012-12-31,0.07
2013-01-31,0.07
2013-02-28,0.1
