realtime_start,realtime_end,date,value,inflation_rate
2025-06-29,2025-06-29,2020-06-01,257.042,
2025-06-29,2025-06-29,2020-07-01,258.352,
2025-06-29,2025-06-29,2020-08-01,259.316,
2025-06-29,2025-06-29,2020-09-01,259.997,
2025-06-29,2025-06-29,2020-10-01,260.319,
2025-06-29,2025-06-29,2020-11-01,260.911,
2025-06-29,2025-06-29,2020-12-01,262.045,
2025-06-29,2025-06-29,2021-01-01,262.639,
2025-06-29,2025-06-29,2021-02-01,263.573,
2025-06-29,2025-06-29,2021-03-01,264.847,
2025-06-29,2025-06-29,2021-04-01,266.625,
2025-06-29,2025-06-29,2021-05-01,268.404,
2025-06-29,2025-06-29,2021-06-01,270.71,5.317418943207719
2025-06-29,2025-06-29,2021-07-01,271.965,5.269167647240969
2025-06-29,2025-06-29,2021-08-01,272.752,5.181323173271246
2025-06-29,2025-06-29,2021-09-01,273.942,5.363523425270289
2025-06-29,2025-06-29,2021-10-01,276.528,6.226591220771449
2025-06-29,2025-06-29,2021-11-01,278.824,6.865559520296194
2025-06-29,2025-06-29,2021-12-01,280.806,7.159457345112474
2025-06-29,2025-06-29,2022-01-01,282.542,7.578082463000535
2025-06-29,2025-06-29,2022-02-01,284.525,7.949220898953979
2025-06-29,2025-06-29,2022-03-01,287.467,8.540780148538584
2025-06-29,2025-06-29,2022-04-01,288.582,8.235161744022502
2025-06-29,2025-06-29,2022-05-01,291.299,8.530051713089225
2025-06-29,2025-06-29,2022-06-01,295.072,8.999298141923106
2025-06-29,2025-06-29,2022-07-01,294.94,8.447778206754553
2025-06-29,2025-06-29,2022-08-01,295.162,8.216255059541266
2025-06-29,2025-06-29,2022-09-01,296.421,8.205751582451759
2025-06-29,2025-06-29,2022-10-01,297.979,7.757261470809462
2025-06-29,2025-06-29,2022-11-01,298.708,7.131380368978291
2025-06-29,2025-06-29,2022-12-01,298.808,6.410831677385809
2025-06-29,2025-06-29,2023-01-01,300.456,6.340296309929161
2025-06-29,2025-06-29,2023-02-01,301.476,5.957648712766894
2025-06-29,2025-06-29,2023-03-01,301.643,4.931348641757127
2025-06-29,2025-06-29,2023-04-01,302.858,4.946947488062325
2025-06-29,2025-06-29,2023-05-01,303.316,4.125314539356473
2025-06-29,2025-06-29,2023-06-01,304.099,3.0592533347792994
2025-06-29,2025-06-29,2023-07-01,304.615,3.28032820234625
2025-06-29,2025-06-29,2023-08-01,306.138,3.7186358677607556
2025-06-29,2025-06-29,2023-09-01,307.374,3.6950823322234427
2025-06-29,2025-06-29,2023-10-01,307.653,3.2465375076767167
2025-06-29,2025-06-29,2023-11-01,308.087,3.139855644977696
2025-06-29,2025-06-29,2023-12-01,308.735,3.322200208829762
2025-06-29,2025-06-29,2024-01-01,309.794,3.1079425939238847
2025-06-29,2025-06-29,2024-02-01,311.022,3.16642120765831
2025-06-29,2025-06-29,2024-03-01,312.107,3.4690014354717524
2025-06-29,2025-06-29,2024-04-01,313.016,3.3540471111874304
2025-06-29,2025-06-29,2024-05-01,313.14,3.238866396761142
2025-06-29,2025-06-29,2024-06-01,313.131,2.9700853998204435
2025-06-29,2025-06-29,2024-07-01,313.566,2.9384633061405374
2025-06-29,2025-06-29,2024-08-01,314.131,2.6109140322338353
2025-06-29,2025-06-29,2024-09-01,314.851,2.432541464144644
2025-06-29,2025-06-29,2024-10-01,315.564,2.5714034967967203
2025-06-29,2025-06-29,2024-11-01,316.449,2.7141684004842848
2025-06-29,2025-06-29,2024-12-01,317.603,2.872366268806581
2025-06-29,2025-06-29,2025-01-01,319.086,2.999412512831112
2025-06-29,2025-06-29,2025-02-01,319.775,2.8142703731568686
2025-06-29,2025-06-29,2025-03-01,319.615,2.4055852640280317
2025-06-29,2025-06-29,2025-04-01,320.321,2.3337465177498906
2025-06-29,2025-06-29,2025-05-01,320.58,2.3759340869898393
